지역,2017년 01분기 지하1층,2017년 01분기 1층,2017년 01분기 2층,2017년 02분기 지하1층, 2017년 02분기 1층,2017년 02분기 2층
대구광역시 시지지구 효용비율,,100,51.4,,100,51.4
대구광역시 죽전 임대료,,20.2,5.9,,20.2,5.9
대구광역시 죽전 효용비율,,100,29.2,,100,29.2
대구광역시 칠곡 임대료,,29.8,8.1,,29.8,8.1
대구광역시 칠곡 효용비율,,100,27.2,,100,27.2
인천광역시 임대료,5.2,20.1,9,5.2,20,9
인천광역시 효용비율,25.77,100,45,25.79,100,44.8
인천광역시 계양구 임대료,15.9,23.6,9.5,15.9,23.5,9.4
인천광역시 계양구 효용비율,67.42,100,40.3,67.71,100,40.2
인천광역시 구월간석 임대료,3.4,14.1,7.5,3.4,14.1,7.5
인천광역시 구월간석 효용비율,23.97,100,53.2,24.02,100,53.1
인천광역시 부평 임대료,4.3,26.6,11.6,4.3,26.6,11.5
인천광역시 부평 효용비율,16.25,100,43.7,16.23,100,43.4
인천광역시 신포동 임대료,4.5,16.3,9.3,4.5,16.3,9.3
인천광역시 신포동 효용비율,27.75,100,57,27.75,100,57
인천광역시 주안 임대료,,19.5,6.4,,19.5,6.4
인천광역시 주안 효용비율,,100,32.9,,100,32.9
광주광역시 임대료,7.2,16.3,6.1,6.6,16.2,6
광주광역시 효용비율,44.13,100,37.6,40.56,100,37.3
광주광역시 금남로/충장로 임대료,,19.9,7.5,,19.9,7.5
광주광역시 금남로/충장로 효용비율,,100,37.9,,100,38
광주광역시 금호지구 임대료,,28.7,,,28.7,
광주광역시 금호지구 효용비율,,100,,,100,
광주광역시 봉선동 임대료,,9.9,4.9,,9.9,4.9
광주광역시 봉선동 효용비율,,100,49.4,,100,49.3
광주광역시 상무지구 임대료,,16.8,10.3,,16.7,10.3
광주광역시 상무지구 효용비율,,100,61.6,,100,61.8
광주광역시 송정동지구 임대료,,14.9,2.8,,14.9,2.8
광주광역시 송정동지구 효용비율,,100,18.6,,100,18.6
광주광역시 양산지구 임대료,,13.9,4.1,,13.9,4.1
광주광역시 양산지구 효용비율,,100,29.7,,100,29.7
광주광역시 월산동지구 임대료,,6.8,3.4,,6.8,3.5
광주광역시 월산동지구 효용비율,,100,50.4,,100,51.2
광주광역시 전라남도대 임대료,7.2,23.9,10.3,6.6,23.6,10.2
광주광역시 전라남도대 효용비율,30.02,100,42.9,27.88,100,43.1
광주광역시 첨단1지구 임대료,,17.1,,,17.1,
광주광역시 첨단1지구 효용비율,,100,,,100,
대전광역시 임대료,2.6,12.8,5.3,2.6,12.8,5.3
대전광역시 효용비율,20.64,100,41.7,20.6,100,41.6
대전광역시 노은 임대료,,13.7,9.4,,13.7,9.4
대전광역시 노은 효용비율,,100,68.7,,100,68.7
대전광역시 복합터미널 임대료,3.5,13.5,6.1,3.5,13.5,6.1
대전광역시 복합터미널 효용비율,25.91,100,45.3,25.91,100,45.3
대전광역시 서대전광역시네거리 임대료,3.4,15.6,4.6,3.4,15.7,4.6
대전광역시 서대전광역시네거리 효용비율,22.11,100,29.2,22,100,29.1
대전광역시 원도심 임대료,2.2,12.5,5.4,2.2,12.5,5.4
대전광역시 원도심 효용비율,17.4,100,43.5,17.4,100,43.5
대전광역시 유성온천역 임대료,1.9,11.8,4.5,1.9,11.8,4.5
대전광역시 유성온천역 효용비율,16.39,100,38.2,16.39,100,38.2
울산광역시 임대료,,14.2,8.1,,14.1,8
울산광역시 효용비율,,100,56.9,,100,56.7
울산광역시 삼산동 임대료,,14.6,10,,14.5,9.9
울산광역시 삼산동 효용비율,,100,68.1,,100,67.9
울산광역시 성남옥교동 임대료,,13.9,7.7,,13.8,7.7
울산광역시 성남옥교동 효용비율,,100,55.8,,100,55.9
울산광역시 신정동 임대료,,13.3,7.2,,13.3,7.2
울산광역시 신정동 효용비율,,100,54.1,,100,54
울산광역시 울산광역시북구 임대료,,13.7,8.9,,13.8,8.8
울산광역시 울산광역시북구 효용비율,,100,65,,100,63.8
울산광역시 전하동 임대료,,16.9,10,,16.7,9.9
울산광역시 전하동 효용비율,,100,59.3,,100,59.5
