기준년도,기준월,기준일,시군명,건축년도,아파트명,층수,도로명,거래금액(만원),전용면적(㎡)
2017,7,2131,고양시,1994,후곡마을(럭키),15,후곡로,45800,84.85
2017,7,2131,고양시,2003,산들마을3단지,16,고양대로,36500,116.71
2017,7,2131,고양시,2004,일산동양(955-2),19,고양대로,30200,84.97
2017,7,2131,고양시,2002,태영(954),1,고양대로,29500,84.89
2017,7,2131,고양시,2002,일산2차현대홈타운,3,고양대로,36700,137.19
2017,7,2131,고양시,2009,일산 임광진흥 아파트,3,탄현로,26000,59.68
2017,7,2131,고양시,2001,"큰마을대림,현대아파트",10,일현로,21000,59.82
2017,7,2131,고양시,1995,탄현마을(부영3),15,홀트로,19200,46.58
2017,7,2131,고양시,1994,탄현마을(한신),4,현중로,25500,68.04
2017,7,2131,고양시,2013,일산두산위브더제니스,6,일현로,35000,59.91
2017,7,2131,고양시,1995,후곡마을(주공),15,강선로,27800,68.13
2017,7,2131,고양시,1994,후곡마을(현대18),13,일산로,38000,84.81
2017,7,2131,고양시,2004,일산동양(955-2),4,고양대로,27000,84.97
2017,7,2131,고양시,2013,푸르지오,15,일청로,26900,59.95
2017,7,2131,고양시,2003,일신휴먼빌(1655),3,원일로21번길,27500,84.99
2017,7,2131,고양시,2004,일산동양(955-2),21,고양대로,28800,84.97
2017,7,2131,고양시,2004,일산동양(955-2),3,고양대로,25750,59.94
2017,7,2131,고양시,2002,일산3차현대홈타운,25,일청로,26500,80.24
2017,7,2131,고양시,2004,일산동양(955-2),5,고양대로,31500,84.97
2017,7,2131,고양시,2000,일신삼익,3,원일로21번길,22950,59.94
2017,7,2131,고양시,1995,후곡마을(코오롱),18,강선로,46000,84.79
2017,7,2131,고양시,2000,일신삼익,5,원일로21번길,23000,59.94
2017,7,2131,고양시,2002,태영(954),5,고양대로,29900,84.89
2017,7,2131,고양시,2000,일신삼익,13,원일로21번길,26900,84.89
2017,7,2131,고양시,1994,탄현마을(건영4),15,홀트로,22900,68.61
2017,7,2131,고양시,1995,탄현마을(부영3),13,홀트로,20500,46.58
2017,7,2131,고양시,2001,"큰마을대림,현대아파트",19,일현로,24000,59.82
2017,7,2131,고양시,2013,일산두산위브더제니스,16,일현로,83200,120.78
2017,7,2131,고양시,2013,일산두산위브더제니스,6,일현로,77600,119.18
2017,7,2131,고양시,2013,일산두산위브더제니스,38,일현로,88200,120.78
2017,7,2131,고양시,2013,일산두산위브더제니스,35,일현로,90800,119.18
2017,7,2131,고양시,2013,일산두산위브더제니스,5,일현로,76500,120.78
2017,7,2131,고양시,2009,일산 임광진흥 아파트,12,탄현로,37900,124.06
